freq,wstatus,age,unit,geo\TIME_PERIOD	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,EMP_TEMP,Y20-64,PC_PNT,RO	0.0 	0.2 	0.3 	0.5 	0.4 	0.3 	0.4 	0.5 	0.3 	0.2 	0.5 	0.5 	1.7 	1.6 	1.7 	0.9 
A,EMP_TEMP,Y20-64,PC_PNT,RS	: 	: 	1.2 	1.4 	0.9 	0.7 	0.8 	2.1 	0.7 	1.4 	-0.1 	-1.2 	-1.7 	-1.1 	-1.6 	-1.2 
A,EMP_TEMP,Y20-64,PC_PNT,SE	-4.7 	-4.1 	-4.3 	-4.2 	-4.7 	-4.3 	-3.4 	-3.3 	-3.3 	-3.5 	-3.4 	-3.5 	-3.9 	-3.4 	-3.1 	-2.2 
A,EMP_TEMP,Y20-64,PC_PNT,SI	-4.3 	-5.5 	-5.3 	-4.8 	-3.3 	-2.7 	-3.5 	-4.2 	-4.2 	-4.3 	-4.5 	-3.7 	-3.3 	-3.4 	-3.9 	-2.7 
A,EMP_TEMP,Y20-64,PC_PNT,SK	0.1 	-0.3 	-0.3 b	-0.4 	-0.2 	0.3 	-0.7 	-0.2 	-0.3 	-0.7 	-0.9 	-0.9 	-0.8 	-1.0 	-1.3 	-1.0 
A,EMP_TEMP,Y20-64,PC_PNT,TR	1.0 	1.1 	2.2 	2.5 	2.7 	2.9 b	2.9 	2.5 	2.2 	1.7 	1.3 	2.3 	2.2 b	1.7 	1.6 	1.5 
A,UEMP_PT,Y20-64,PC_PNT,AT	-3.8 	-3.0 	-3.5 	-3.7 	-4.0 	-4.1 	-4.3 	-3.8 	-3.8 	-3.2 	-2.7 	-3.1 	-2.9 	-2.4 	-2.4 	-2.3 
A,UEMP_PT,Y20-64,PC_PNT,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.2 	0.4 	0.5 u	0.2 
A,UEMP_PT,Y20-64,PC_PNT,BE	-0.5 	-0.5 	-0.4 	-3.4 b	-3.6 	-3.0 	-3.1 	-3.2 	-2.8 b	-2.5 	-2.3 	-2.5 	-3.6 	-2.7 	-2.6 	-2.6 
A,UEMP_PT,Y20-64,PC_PNT,BG	0.0 	0.3 b	0.0 b	0.0 	-0.3 	0.0 	0.0 	0.2 	0.5 	0.1 	0.2 b	0.0 u	0.0 u	0.0 u	0.1 u	0.0 bu
A,UEMP_PT,Y20-64,PC_PNT,CH	: 	-8.2 b	-7.7 	-7.6 	-7.6 	-7.5 	-8.1 	-7.7 	-7.8 	-8.1 	-8.3 	-8.1 	-6.3 	-4.6 	-4.3 	-4.5 
A,UEMP_PT,Y20-64,PC_PNT,CY	-1.5 	-1.6 	-1.4 	-1.9 	-3.1 	-2.8 	-1.9 	0.0 	-1.6 	-1.6 	-2.2 	-2.4 	-1.1 	-1.0 	-1.1 	-0.5 
